ITEM: TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element x y z vx vy vz fx fy fz
    62  Al  -0.27999E+02  -0.23999E+02  -0.69741E+02  -0.35140E+01   0.38170E+00   0.10746E+01  -0.22721E+02   0.10739E+03  -0.22345E+04
    63  Al  -0.29999E+02  -0.23999E+02  -0.67741E+02  -0.75587E+00  -0.22891E+01   0.31513E+01  -0.18355E-10  -0.78316E+01  -0.91849E+03
    64  Al  -0.27999E+02  -0.25999E+02  -0.67741E+02   0.10062E+00   0.57096E+00  -0.15997E+01  -0.68500E+01   0.22933E+01  -0.92387E+03
    65  Al  -0.25999E+02  -0.25999E+02  -0.69741E+02   0.41656E+01   0.67057E+00   0.48301E+01  -0.62499E+03  -0.42574E+03  -0.79025E+03
    66  Al  -0.23999E+02  -0.23999E+02  -0.69741E+02  -0.45700E+00   0.22491E+01  -0.33933E+01  -0.60495E+02  -0.30499E+03  -0.19753E+04
    67  Al  -0.25999E+02  -0.23999E+02  -0.67741E+02   0.16229E+01  -0.31530E+01  -0.95498E-01  -0.11203E+01   0.22688E+01  -0.91650E+03
    68  Al  -0.23999E+02  -0.25999E+02  -0.67741E+02   0.37987E+01  -0.37955E+01  -0.46016E+01  -0.57841E+01   0.10190E+02  -0.89769E+03
    69  Al  -0.21999E+02  -0.25999E+02  -0.69741E+02  -0.19224E+01   0.87592E+00   0.32028E+01   0.15920E+03  -0.76109E+03   0.88800E+03
    70  Al  -0.20000E+02  -0.23999E+02  -0.69741E+02   0.12143E+01   0.11713E+01   0.22642E+01   0.75788E+02  -0.21567E+03  -0.20550E+04
    71  Al  -0.21999E+02  -0.23999E+02  -0.67741E+02  -0.13704E+01  -0.49566E+01  -0.20422E+01   0.30218E+00   0.10315E+02  -0.91394E+03
    72  Al  -0.20000E+02  -0.25999E+02  -0.67741E+02  -0.22499E+00   0.49699E+00   0.47997E+00   0.84265E+01   0.85078E+01  -0.90341E+03
    73  Al  -0.18000E+02  -0.25999E+02  -0.69741E+02  -0.49509E+00   0.12158E+01   0.16047E+01   0.54044E+03  -0.29246E+03  -0.14592E+04
    74  Al  -0.16000E+02  -0.23999E+02  -0.69741E+02   0.74932E+00  -0.43900E+01   0.63806E+01   0.77049E+01   0.17276E+03  -0.22482E+04
    75  Al  -0.18000E+02  -0.23999E+02  -0.67741E+02  -0.82980E+01   0.15023E+01  -0.78110E+00   0.88204E+00  -0.15069E+01  -0.91743E+03
    76  Al  -0.16000E+02  -0.25999E+02  -0.67741E+02  -0.95051E+00   0.20739E+01   0.29931E+01   0.37140E+01   0.10258E+01  -0.92794E+03
    77  Al  -0.14000E+02  -0.25999E+02  -0.69741E+02  -0.33500E+01  -0.26337E+01  -0.13007E+01  -0.19742E+03  -0.12431E+03  -0.23052E+04
    78  Al  -0.12000E+02  -0.23999E+02  -0.69741E+02  -0.50059E+00   0.55692E+01  -0.12143E+01  -0.45579E+02   0.99776E+01  -0.21995E+04
    79  Al  -0.14000E+02  -0.23999E+02  -0.67741E+02  -0.27017E+01   0.24490E+00  -0.29851E+01  -0.31787E+00  -0.70399E+01  -0.91840E+03
    80  Al  -0.12000E+02  -0.25999E+02  -0.67741E+02   0.26098E+01   0.18697E+01  -0.26326E+01  -0.89166E+01   0.41819E+01  -0.91776E+03
    81  Al  -0.99998E+01  -0.25999E+02  -0.69741E+02  -0.21428E+00   0.29212E+01   0.47495E+01  -0.59650E+03  -0.56813E+03  -0.76873E+02
    82  Al  -0.79998E+01  -0.23999E+02  -0.69741E+02   0.36844E+01   0.18072E+01   0.25087E+01  -0.23164E+02  -0.35475E+03  -0.19259E+04
    83  Al  -0.99998E+01  -0.23999E+02  -0.67741E+02  -0.27934E+01   0.22291E+01   0.64322E+00  -0.11118E+01   0.59372E+01  -0.91545E+03
    84  Al  -0.79998E+01  -0.25999E+02  -0.67741E+02   0.12487E+01  -0.44790E+00  -0.17547E+01  -0.20447E+01   0.11123E+02  -0.89448E+03
    85  Al  -0.59999E+01  -0.25999E+02  -0.69741E+02  -0.31036E+01  -0.16293E+00   0.30939E+01   0.43381E+03  -0.69015E+03   0.53346E+03
    86  Al  -0.39999E+01  -0.23999E+02  -0.69741E+02   0.13826E+01   0.26206E+01   0.34624E+01   0.67668E+02  -0.10403E+03  -0.21371E+04
    87  Al  -0.59999E+01  -0.23999E+02  -0.67741E+02  -0.20304E+01  -0.23223E+01  -0.57776E+00   0.81800E+00   0.87709E+01  -0.91450E+03
    88  Al  -0.39999E+01  -0.25999E+02  -0.67741E+02  -0.20010E+01   0.79782E-02   0.12947E+01   0.95028E+01   0.63819E+01  -0.91054E+03
    89  Al  -0.20000E+01  -0.25999E+02  -0.69741E+02   0.21556E+01   0.28456E+01   0.99491E+00   0.38506E+03  -0.18861E+03  -0.19813E+04
